Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Kommune,Lat,Lon,Sjøtemperatur
34,2017,10418,,,,,,,,
34,2017,10423,,,,,,,,
34,2017,10491,,,,,,,,
34,2017,10510,,,,,,,,
34,2017,10587,,,,,,,,
34,2017,10633,,,,,,,,
34,2017,10718,,,,,,,,
34,2017,10720,,,,,,,,
34,2017,10802,,,,,,,,
34,2017,10805,,,,,,,,
34,2017,10812,,,,,,,,
34,2017,10836,,,,,,,,
34,2017,10914,,,,,,,,
34,2017,10963,,,,,,,,
34,2017,11001,,,,,,,,
34,2017,11004,,,,,,,,
34,2017,11077,,,,,,,,
34,2017,11117,,,,,,,,
34,2017,11125,,,,,,,,
34,2017,11173,,,,,,,,
34,2017,11194,,,,,,,,
34,2017,11196,,,,,,,,
34,2017,11207,,,,,,,,
34,2017,11219,,,,,,,,
34,2017,11291,,,,,,,,
34,2017,11317,,,,,,,,
34,2017,11327,,,,,,,,
34,2017,11329,,,,,,,,
34,2017,11341,,,,,,,,
34,2017,11345,,,,,,,,
34,2017,11388,,,,,,,,
34,2017,11444,,,,,,,,
34,2017,11461,,,,,,,,
34,2017,11475,,,,,,,,
34,2017,11494,,,,,,,,
34,2017,11496,,,,,,,,
34,2017,11499,,,,,,,,
34,2017,11558,,,,,,,,
34,2017,11562,,,,,,,,
34,2017,11564,,,,,,,,
34,2017,11712,,,,,,,,
34,2017,11718,,,,,,,,
34,2017,11767,,,,,,,,
34,2017,11792,,,,,,,,
34,2017,11798,,,,,,,,
34,2017,11812,,,,,,,,
34,2017,11817,,,,,,,,
34,2017,11863,,,,,,,,
34,2017,11887,,,,,,,,
34,2017,11898,,,,,,,,
34,2017,11934,,,,,,,,
34,2017,11938,,,,,,,,
34,2017,11942,,,,,,,,
34,2017,11953,,,,,,,,
34,2017,11960,,,,,,,,
34,2017,11967,,,,,,,,
34,2017,12080,,,,,,,,
34,2017,12084,,,,,,,,
34,2017,12105,,,,,,,,
34,2017,12122,,,,,,,,
34,2017,12123,,,,,,,,
34,2017,12151,,,,,,,,
34,2017,12186,,,,,,,,
34,2017,12211,,,,,,,,
34,2017,12225,,,,,,,,
34,2017,12238,,,,,,,,
34,2017,12246,,,,,,,,
34,2017,12249,,,,,,,,
34,2017,12253,,,,,,,,
34,2017,12255,,,,,,,,
34,2017,12264,,,,,,,,
34,2017,12331,,,,,,,,
34,2017,12333,,,,,,,,
34,2017,12390,,,,,,,,
34,2017,12396,,,,,,,,
34,2017,12398,,,,,,,,
34,2017,12430,,,,,,,,
34,2017,12434,,,,,,,,
34,2017,12448,,,,,,,,
34,2017,12457,,,,,,,,
34,2017,12487,,,,,,,,
34,2017,12499,,,,,,,,
34,2017,12512,,,,,,,,
34,2017,12516,,,,,,,,
34,2017,12522,,,,,,,,
34,2017,12538,,,,,,,,
34,2017,12539,,,,,,,,
34,2017,12540,,,,,,,,
34,2017,12542,,,,,,,,
34,2017,12543,,,,,,,,
34,2017,12544,,,,,,,,
34,2017,12547,,,,,,,,
34,2017,12548,,,,,,,,
34,2017,12549,,,,,,,,
34,2017,12550,,,,,,,,
34,2017,12571,,,,,,,,
34,2017,12597,,,,,,,,
